city,start_date,end_date,target_date
Albuquerque,2012-10-01,2012-10-03,2012-10-05
Albuquerque,2012-10-02,2012-10-04,2012-10-06
Albuquerque,2012-10-03,2012-10-05,2012-10-07
Albuquerque,2012-10-04,2012-10-06,2012-10-08
Albuquerque,2012-10-05,2012-10-07,2012-10-09
Albuquerque,2012-10-06,2012-10-08,2012-10-10
Albuquerque,2012-10-07,2012-10-09,2012-10-11
Albuquerque,2012-10-08,2012-10-10,2012-10-12
Albuquerque,2012-10-09,2012-10-11,2012-10-13
Albuquerque,2012-10-10,2012-10-12,2012-10-14
Albuquerque,2012-10-11,2012-10-13,2012-10-15
Albuquerque,2012-10-12,2012-10-14,2012-10-16
Albuquerque,2012-10-13,2012-10-15,2012-10-17
Albuquerque,2012-10-14,2012-10-16,2012-10-18
Albuquerque,2012-10-15,2012-10-17,2012-10-19
Albuquerque,2012-10-16,2012-10-18,2012-10-20
Albuquerque,2012-10-17,2012-10-19,2012-10-21
Albuquerque,2012-10-18,2012-10-20,2012-10-22
Albuquerque,2012-10-19,2012-10-21,2012-10-23
Albuquerque,2012-10-20,2012-10-22,2012-10-24
Albuquerque,2012-10-21,2012-10-23,2012-10-25
Albuquerque,2012-10-22,2012-10-24,2012-10-26
Albuquerque,2012-10-23,2012-10-25,2012-10-27
Albuquerque,2012-10-24,2012-10-26,2012-10-28
Albuquerque,2012-10-25,2012-10-27,2012-10-29
Albuquerque,2012-10-26,2012-10-28,2012-10-30
Albuquerque,2012-10-27,2012-10-29,2012-10-31
Albuquerque,2012-10-28,2012-10-30,2012-11-01
Albuquerque,2012-10-29,2012-10-31,2012-11-02
Albuquerque,2012-10-30,2012-11-01,2012-11-03
Albuquerque,2012-10-31,2012-11-02,2012-11-04
Albuquerque,2012-11-01,2012-11-03,2012-11-05
Albuquerque,2012-11-02,2012-11-04,2012-11-06
Albuquerque,2012-11-03,2012-11-05,2012-11-07
Albuquerque,2012-11-04,2012-11-06,2012-11-08
Albuquerque,2012-11-05,2012-11-07,2012-11-09
Albuquerque,2012-11-06,2012-11-08,2012-11-10
Albuquerque,2012-11-07,2012-11-09,2012-11-11
Albuquerque,2012-11-08,2012-11-10,2012-11-12
Albuquerque,2012-11-09,2012-11-11,2012-11-13
Albuquerque,2012-11-10,2012-11-12,2012-11-14
Albuquerque,2012-11-11,2012-11-13,2012-11-15
Albuquerque,2012-11-12,2012-11-14,2012-11-16
Albuquerque,2012-11-13,2012-11-15,2012-11-17
Albuquerque,2012-11-14,2012-11-16,2012-11-18
Albuquerque,2012-11-15,2012-11-17,2012-11-19
Albuquerque,2012-11-16,2012-11-18,2012-11-20
Albuquerque,2012-11-17,2012-11-19,2012-11-21
Albuquerque,2012-11-18,2012-11-20,2012-11-22
Albuquerque,2012-11-19,2012-11-21,2012-11-23
Albuquerque,2012-11-20,2012-11-22,2012-11-24
Albuquerque,2012-11-21,2012-11-23,2012-11-25
Albuquerque,2012-11-22,2012-11-24,2012-11-26
Albuquerque,2012-11-23,2012-11-25,2012-11-27
Albuquerque,2012-11-24,2012-11-26,2012-11-28
Albuquerque,2012-11-25,2012-11-27,2012-11-29
Albuquerque,2012-11-26,2012-11-28,2012-11-30
Albuquerque,2012-11-27,2012-11-29,2012-12-01
Albuquerque,2012-11-28,2012-11-30,2012-12-02
Albuquerque,2012-11-29,2012-12-01,2012-12-03
Albuquerque,2012-11-30,2012-12-02,2012-12-04
Albuquerque,2012-12-01,2012-12-03,2012-12-05
Albuquerque,2012-12-02,2012-12-04,2012-12-06
Albuquerque,2012-12-03,2012-12-05,2012-12-07
Albuquerque,2012-12-04,2012-12-06,2012-12-08
Albuquerque,2012-12-05,2012-12-07,2012-12-09
Albuquerque,2012-12-06,2012-12-08,2012-12-10
Albuquerque,2012-12-07,2012-12-09,2012-12-11
Albuquerque,2012-12-08,2012-12-10,2012-12-12
Albuquerque,2012-12-09,2012-12-11,2012-12-13
Albuquerque,2012-12-10,2012-12-12,2012-12-14
Albuquerque,2012-12-11,2012-12-13,2012-12-15
Albuquerque,2012-12-12,2012-12-14,2012-12-16
Albuquerque,2012-12-13,2012-12-15,2012-12-17
Albuquerque,2012-12-14,2012-12-16,2012-12-18
Albuquerque,2012-12-15,2012-12-17,2012-12-19
Albuquerque,2012-12-16,2012-12-18,2012-12-20
Albuquerque,2012-12-17,2012-12-19,2012-12-21
Albuquerque,2012-12-18,2012-12-20,2012-12-22
Albuquerque,2012-12-19,2012-12-21,2012-12-23
Albuquerque,2012-12-20,2012-12-22,2012-12-24
Albuquerque,2012-12-21,2012-12-23,2012-12-25
Albuquerque,2012-12-22,2012-12-24,2012-12-26
Albuquerque,2012-12-23,2012-12-25,2012-12-27
Albuquerque,2012-12-24,2012-12-26,2012-12-28
Albuquerque,2012-12-25,2012-12-27,2012-12-29
Albuquerque,2012-12-26,2012-12-28,2012-12-30
Albuquerque,2012-12-27,2012-12-29,2012-12-31
Albuquerque,2012-12-28,2012-12-30,2013-01-01
Albuquerque,2012-12-29,2012-12-31,2013-01-02
Albuquerque,2012-12-30,2013-01-01,2013-01-03
Albuquerque,2012-12-31,2013-01-02,2013-01-04
Albuquerque,2013-01-01,2013-01-03,2013-01-05
Albuquerque,2013-01-02,2013-01-04,2013-01-06
Albuquerque,2013-01-03,2013-01-05,2013-01-07
Albuquerque,2013-01-04,2013-01-06,2013-01-08
Albuquerque,2013-01-05,2013-01-07,2013-01-09
Albuquerque,2013-01-06,2013-01-08,2013-01-10
Albuquerque,2013-01-07,2013-01-09,2013-01-11
Albuquerque,2013-01-08,2013-01-10,2013-01-12
Albuquerque,2013-01-09,2013-01-11,2013-01-13
Albuquerque,2013-01-10,2013-01-12,2013-01-14
Albuquerque,2013-01-11,2013-01-13,2013-01-15
Albuquerque,2013-01-12,2013-01-14,2013-01-16
Albuquerque,2013-01-13,2013-01-15,2013-01-17
Albuquerque,2013-01-14,2013-01-16,2013-01-18
Albuquerque,2013-01-15,2013-01-17,2013-01-19
Albuquerque,2013-01-16,2013-01-18,2013-01-20
Albuquerque,2013-01-17,2013-01-19,2013-01-21
Albuquerque,2013-01-18,2013-01-20,2013-01-22
Albuquerque,2013-01-19,2013-01-21,2013-01-23
Albuquerque,2013-01-20,2013-01-22,2013-01-24
Albuquerque,2013-01-21,2013-01-23,2013-01-25
Albuquerque,2013-01-22,2013-01-24,2013-01-26
Albuquerque,2013-01-23,2013-01-25,2013-01-27
Albuquerque,2013-01-24,2013-01-26,2013-01-28
Albuquerque,2013-01-25,2013-01-27,2013-01-29
Albuquerque,2013-01-26,2013-01-28,2013-01-30
Albuquerque,2013-01-27,2013-01-29,2013-01-31
Albuquerque,2013-01-28,2013-01-30,2013-02-01
Albuquerque,2013-01-29,2013-01-31,2013-02-02
Albuquerque,2013-01-30,2013-02-01,2013-02-03
Albuquerque,2013-01-31,2013-02-02,2013-02-04
Albuquerque,2013-02-01,2013-02-03,2013-02-05
Albuquerque,2013-02-02,2013-02-04,2013-02-06
Albuquerque,2013-02-03,2013-02-05,2013-02-07
Albuquerque,2013-02-04,2013-02-06,2013-02-08
Albuquerque,2013-02-05,2013-02-07,2013-02-09
Albuquerque,2013-02-06,2013-02-08,2013-02-10
Albuquerque,2013-02-07,2013-02-09,2013-02-11
Albuquerque,2013-02-08,2013-02-10,2013-02-12
Albuquerque,2013-02-09,2013-02-11,2013-02-13
Albuquerque,2013-02-10,2013-02-12,2013-02-14
Albuquerque,2013-02-11,2013-02-13,2013-02-15
Albuquerque,2013-02-12,2013-02-14,2013-02-16
Albuquerque,2013-02-13,2013-02-15,2013-02-17
Albuquerque,2013-02-14,2013-02-16,2013-02-18
Albuquerque,2013-02-15,2013-02-17,2013-02-19
Albuquerque,2013-02-16,2013-02-18,2013-02-20
Albuquerque,2013-02-17,2013-02-19,2013-02-21
Albuquerque,2013-02-18,2013-02-20,2013-02-22
Albuquerque,2013-02-19,2013-02-21,2013-02-23
Albuquerque,2013-02-20,2013-02-22,2013-02-24
Albuquerque,2013-02-21,2013-02-23,2013-02-25
Albuquerque,2013-02-22,2013-02-24,2013-02-26
Albuquerque,2013-02-23,2013-02-25,2013-02-27
Albuquerque,2013-02-24,2013-02-26,2013-02-28
Albuquerque,2013-02-25,2013-02-27,2013-03-01
Albuquerque,2013-02-26,2013-02-28,2013-03-02
Albuquerque,2013-02-27,2013-03-01,2013-03-03
Albuquerque,2013-02-28,2013-03-02,2013-03-04
Albuquerque,2013-03-01,2013-03-03,2013-03-05
Albuquerque,2013-03-02,2013-03-04,2013-03-06
Albuquerque,2013-03-03,2013-03-05,2013-03-07
Albuquerque,2013-03-04,2013-03-06,2013-03-08
Albuquerque,2013-03-05,2013-03-07,2013-03-09
Albuquerque,2013-03-06,2013-03-08,2013-03-10
Albuquerque,2013-03-07,2013-03-09,2013-03-11
Albuquerque,2013-03-08,2013-03-10,2013-03-12
Albuquerque,2013-03-09,2013-03-11,2013-03-13
Albuquerque,2013-03-10,2013-03-12,2013-03-14
Albuquerque,2013-03-11,2013-03-13,2013-03-15
Albuquerque,2013-03-12,2013-03-14,2013-03-16
Albuquerque,2013-03-13,2013-03-15,2013-03-17
Albuquerque,2013-03-14,2013-03-16,2013-03-18
Albuquerque,2013-03-15,2013-03-17,2013-03-19
Albuquerque,2013-03-16,2013-03-18,2013-03-20
Albuquerque,2013-03-17,2013-03-19,2013-03-21
Albuquerque,2013-03-18,2013-03-20,2013-03-22
Albuquerque,2013-03-19,2013-03-21,2013-03-23
Albuquerque,2013-03-20,2013-03-22,2013-03-24
Albuquerque,2013-03-21,2013-03-23,2013-03-25
Albuquerque,2013-03-22,2013-03-24,2013-03-26
Albuquerque,2013-03-23,2013-03-25,2013-03-27
Albuquerque,2013-03-24,2013-03-26,2013-03-28
Albuquerque,2013-03-25,2013-03-27,2013-03-29
Albuquerque,2013-03-26,2013-03-28,2013-03-30
Albuquerque,2013-03-27,2013-03-29,2013-03-31
Albuquerque,2013-03-28,2013-03-30,2013-04-01
Albuquerque,2013-03-29,2013-03-31,2013-04-02
Albuquerque,2013-03-30,2013-04-01,2013-04-03
Albuquerque,2013-03-31,2013-04-02,2013-04-04
Albuquerque,2013-04-01,2013-04-03,2013-04-05
Albuquerque,2013-04-02,2013-04-04,2013-04-06
Albuquerque,2013-04-03,2013-04-05,2013-04-07
Albuquerque,2013-04-04,2013-04-06,2013-04-08
Albuquerque,2013-04-05,2013-04-07,2013-04-09
Albuquerque,2013-04-06,2013-04-08,2013-04-10
Albuquerque,2013-04-07,2013-04-09,2013-04-11
Albuquerque,2013-04-08,2013-04-10,2013-04-12
Albuquerque,2013-04-09,2013-04-11,2013-04-13
Albuquerque,2013-04-10,2013-04-12,2013-04-14
Albuquerque,2013-04-11,2013-04-13,2013-04-15
Albuquerque,2013-04-12,2013-04-14,2013-04-16
Albuquerque,2013-04-13,2013-04-15,2013-04-17
Albuquerque,2013-04-14,2013-04-16,2013-04-18
Albuquerque,2013-04-15,2013-04-17,2013-04-19
Albuquerque,2013-04-16,2013-04-18,2013-04-20
Albuquerque,2013-04-17,2013-04-19,2013-04-21
Albuquerque,2013-04-18,2013-04-20,2013-04-22
Albuquerque,2013-04-19,2013-04-21,2013-04-23
Albuquerque,2013-04-20,2013-04-22,2013-04-24
Albuquerque,2013-04-21,2013-04-23,2013-04-25
Albuquerque,2013-04-22,2013-04-24,2013-04-26
Albuquerque,2013-04-23,2013-04-25,2013-04-27
Albuquerque,2013-04-24,2013-04-26,2013-04-28
Albuquerque,2013-04-25,2013-04-27,2013-04-29
Albuquerque,2013-04-26,2013-04-28,2013-04-30
Albuquerque,2013-04-27,2013-04-29,2013-05-01
